diagnostico,frase,resposta
pânico,medo desmaiar lugares muita gente,Esse medo é compreensível. Vamos trabalhar para encontrar formas de lidar com esses momentos e aumentar sua confiança.
depressão,sinto apenas existindo realmente viver,Sei que essa sensação pode ser muito dolorosa. Vamos explorar formas de trazer mais propósito e significado à sua vida.
ansiedade,dificuldades tomar decisões fico paralisadoa medo errar,Isso deve ser muito angustiante. Vamos tentar reduzir essa pressão que você coloca sobre si mesmo(a).
burnout,sinto capaz lidar responsabilidades,Essa sensação de incapacidade pode ser muito pesada. Vamos explorar maneiras de equilibrar suas responsabilidades e cuidar de você mesmo(a).
pânico,peito aperta nada sinto conseguisse respirar,Esses sintomas são assustadores. Vamos falar sobre técnicas que podem ajudar a lidar com essas sensações.
depressão,perdi interesse coisas costumava amar,Isso pode ser muito difícil de lidar. Vamos trabalhar juntos para entender o que está acontecendo e tentar redescobrir essas paixões.
ansiedade,medo constante algo terrível vá acontecer,Essa preocupação constante deve ser muito exaustiva. Vamos trabalhar em maneiras de aliviar esse medo e viver o presente.
depressão,sinto ficando trás enquanto todos avançam,Isso pode ser uma sensação muito difícil. Vamos explorar como reverter esses pensamentos e valorizar seu próprio progresso.
ansiedade,fico tensoa ansiosoa tempo todo motivo,Isso pode ser muito desgastante. Vamos procurar maneiras de entender o que está causando essa tensão e trabalhar em técnicas para relaxar.
ansiedade,medo julgadoa tempo todo,Esse medo pode ser muito angustiante. Vamos trabalhar em maneiras de reduzir essa preocupação com o que os outros pensam.
burnout,sinto exaustoa emocionalmente nada oferecer,Essa sensação de esgotamento pode ser muito difícil. Vamos falar sobre maneiras de recarregar suas energias emocionais.
pânico,coração dispara sinto desmaiar situações sociais,Esses sintomas podem ser muito assustadores. Vamos trabalhar juntos para entender o que pode estar causando isso.
burnout,tão cansadoa mal consigo mover,Essa exaustão pode ser um sinal de que você precisa de descanso. Vamos explorar formas de recarregar sua energia e encontrar mais equilíbrio.
pânico,medo perder controle fazer algo vou arrepender,Esse medo pode ser muito difícil de lidar. Vamos trabalhar juntos em maneiras de enfrentar esses pensamentos de forma segura.
depressão,sinto desconectadoa tudo todos,Isso deve ser muito solitário. Vamos falar sobre como podemos reconstruir suas conexões e trazer mais sentido à sua vida.
ansiedade,sinto pressão enorme perfeitoa tudo faço,Essa pressão deve ser muito difícil de suportar. Vamos trabalhar juntos para reduzir essa necessidade de perfeição.
ansiedade,tão ansiosoa mal consigo concentrar tarefa,Isso deve estar atrapalhando bastante. Vamos explorar técnicas que podem ajudar a melhorar seu foco e acalmar sua mente.
ansiedade,sinto mente mil lugares tempo,Essa sobrecarga mental pode ser muito exaustiva. Vamos falar sobre como organizar seus pensamentos e trazer mais clareza.
ansiedade,medo decepcionar pessoas redor,Esse medo pode ser muito angustiante. Vamos trabalhar juntos para aliviar essa pressão e reduzir suas preocupações.
depressão,sinto afastando pessoas amo,Isso pode ser muito doloroso. Vamos explorar maneiras de se reconectar com essas pessoas e encontrar apoio emocional.
ansiedade,corpo sempre tenso esperando algo ruim acontecer,Essa sensação de constante alerta pode ser muito desgastante. Vamos falar sobre maneiras de aliviar essa tensão.
ansiedade,sempre questionando fazendo escolhas certas,Essas dúvidas constantes podem ser muito frustrantes. Vamos explorar formas de confiar mais em suas decisões.
depressão,crises choro frequentes sei porquê,Sei que isso pode ser muito difícil. Vamos tentar entender o que pode estar causando essas crises e como lidar com elas.
depressão,sinto fracasso nada fizesse desse certo,Esse sentimento deve ser muito pesado. Vamos trabalhar em formas de reconhecer suas conquistas e aliviar essa pressão.
burnout,sinto apenas sobrevivendo vivendo,Essa sensação de esgotamento emocional é compreensível. Vamos trabalhar juntos para encontrar formas de trazer mais propósito e alegria ao seu dia a dia.
pânico,medo perdendo controle vida,Essa sensação pode ser muito assustadora. Vamos explorar maneiras de recuperar o controle e lidar com esses sentimentos de insegurança.
ansiedade,consigo parar pensar erros cometi passado,Esses pensamentos repetitivos devem ser muito desgastantes. Vamos trabalhar em formas de deixar o passado para trás e focar no presente.
burnout,sinto sempre beira colapso,Essa sensação de estar no limite é um sinal de que algo precisa mudar. Vamos explorar maneiras de aliviar essa pressão e trazer mais equilíbrio à sua vida.
ansiedade,sinto constantemente preocupadoa coisas pequenas,Essas preocupações devem ser muito desgastantes. Vamos trabalhar em formas de reduzir essa ansiedade e focar no que realmente importa.
burnout,consigo desligar trabalho casa,Isso pode ser muito difícil. Vamos falar sobre como criar limites saudáveis entre o trabalho e o tempo pessoal.
pânico,medo ficar sozinhoa sinto algo ruim pode acontecer,Esse medo pode ser muito angustiante. Vamos explorar formas de lidar com esses momentos e aumentar sua confiança em estar sozinho(a).
depressão,vejo sentido nada faço,Isso deve ser muito desmotivador. Vamos falar sobre como você pode redescobrir um propósito em sua vida.
depressão,sinto constante sensação vazio consigo explicar,Essa sensação pode ser muito dolorosa. Vamos explorar juntos maneiras de preencher esse vazio.
burnout,constantemente cansadoa sinto nunca descanso verdade,Isso parece um esgotamento profundo. Vamos procurar maneiras de você se recuperar e descansar de verdade.
ansiedade,sinto futuro controle,Essa sensação pode ser muito angustiante. Vamos falar sobre como você pode lidar com essa incerteza e focar no presente.
burnout,sinto sobrecarregadoa pequenas tarefas dia dia,Até as pequenas coisas podem parecer enormes quando estamos esgotados. Vamos trabalhar em como dividir essas tarefas de forma mais gerenciável.
burnout,sinto beira colapso emocional,Parece que você está realmente no limite. Vamos falar sobre como podemos evitar esse colapso e recuperar seu equilíbrio emocional.
ansiedade,medo bom suficiente outros,"Esse medo de julgamento é compreensível, mas lembre-se de que você não precisa ser perfeito para agradar aos outros."
depressão,sinto vida passando aproveitando,Esse sentimento pode ser muito frustrante. Vamos trabalhar em como trazer mais alegria e significado para sua vida.
ansiedade,corpo sempre tenso esperando algo ruim acontecer,Essa tensão constante pode ser muito exaustiva. Vamos procurar formas de relaxar e liberar essa energia acumulada.
ansiedade,sinto enorme pressão sempre controle,Essa necessidade de controle pode ser sufocante. Vamos falar sobre como liberar um pouco dessa pressão e encontrar um equilíbrio.
burnout,sinto ficando insensível emoções outros,Esse distanciamento emocional pode ser um sinal de esgotamento. Vamos explorar maneiras de você se reconectar com seus sentimentos e com os outros.
ansiedade,sempre antecipando pior qualquer situação,Essa antecipação negativa pode ser muito desgastante. Vamos trabalhar em técnicas para quebrar esse padrão de pensamento.
depressão,sinto desconectadoa pessoas redor,Essa desconexão pode ser muito solitária. Vamos trabalhar juntos para encontrar formas de se reconectar com as pessoas que são importantes para você.
depressão,sinto ninguém entende verdade,Essa sensação de incompreensão pode ser muito difícil. Vamos trabalhar em como se expressar melhor e encontrar pessoas que te entendam.
pânico,pânico pensar sair casa,Esse medo de sair pode ser muito debilitante. Vamos trabalhar juntos para superar esse medo de forma gradual e segura.
depressão,sinto apenas existindo realmente viver,Esse sentimento de estagnação pode ser doloroso. Vamos buscar maneiras de trazer mais vida e entusiasmo para o seu dia a dia.
ansiedade,sinto sensação medo constante motivo aparente,Essa sensação constante de medo pode ser muito desgastante. Vamos explorar maneiras de lidar com essa ansiedade.
burnout,consigo desconectar trabalho momentos lazer,É importante encontrar um equilíbrio entre trabalho e descanso. Vamos trabalhar em criar esses limites saudáveis.
depressão,sinto decepcionando todo mundo redor,Isso deve ser muito pesado para você. Vamos trabalhar em reduzir essa autocrítica e enxergar o quanto você realmente está se esforçando.
ansiedade,sinto explodir tanta tensão,Essa sensação de tensão constante pode ser muito desgastante. Vamos falar sobre técnicas de relaxamento e como liberar essa pressão.
pânico,medo ter crise pânico público,"Essas preocupações são compreensíveis, mas podemos trabalhar juntos para aumentar sua confiança e reduzir esses medos."
burnout,sinto tão cansadoa mentalmente consigo pensar direito,Esse cansaço mental pode ser um sinal de que você precisa de uma pausa. Vamos encontrar formas de descansar sua mente.
ansiedade,crises ansiedade impedem fazer coisas simples,Essas crises podem ser muito debilitantes. Vamos trabalhar em formas de reduzir esses episódios e lidar com eles quando acontecerem.
ansiedade,sinto sufocadoa expectativas outros,As expectativas dos outros podem ser muito pesadas. Vamos falar sobre como você pode se libertar dessa pressão e focar no que é importante para você.
burnout,sinto capaz dar conta todas responsabilidades,Esse sentimento de incapacidade é compreensível quando estamos esgotados. Vamos trabalhar juntos para redistribuir suas responsabilidades.
pânico,medo sair sentir presoa algum lugar,"Esse medo pode ser muito debilitante, mas podemos trabalhar em maneiras de lidar com isso de forma gradual e segura."
ansiedade,sinto sempre beira perder controle,Essa sensação de estar à beira do descontrole pode ser muito angustiante. Vamos trabalhar em técnicas para te ajudar a se sentir mais no comando.
depressão,sinto sempre desapontando pessoas redor,Esse sentimento de culpa pode ser muito doloroso. Vamos explorar como aliviar essa pressão que você coloca sobre si mesmo(a).
ansiedade,cabeça fico sempre imaginando coisas ruins,Esses pensamentos podem ser muito desgastantes. Vamos trabalhar em formas de reduzir esses pensamentos intrusivos e focar no presente.
depressão,sinto vida rotina saída,Isso pode ser uma sensação muito frustrante. Vamos buscar maneiras de quebrar essa rotina e trazer algo novo e positivo à sua vida.
burnout,sinto exaustoa emocionalmente forças continuar,Essa exaustão emocional pode ser muito pesada. Vamos procurar maneiras de recarregar suas energias emocionais.
depressão,sinto ficando cada vez distante pessoas amo,Essa distância emocional pode ser muito dolorosa. Vamos trabalhar em formas de se reconectar com aqueles que são importantes para você.
pânico,medo ter crise pânico menos espero,Essas crises inesperadas podem ser assustadoras. Vamos trabalhar em maneiras de reduzir sua frequência e lidar com elas quando acontecerem.
ansiedade,sinto pressão enorme perfeitoa tudo faço,Essa pressão pela perfeição pode ser muito desgastante. Vamos explorar como aliviar essa necessidade de sempre estar no topo.
depressão,sinto sempre dívida pessoas nunca suficiente,Esse sentimento de inadequação pode ser muito doloroso. Vamos explorar formas de aliviar essa autocrítica.
burnout,sinto prestes explodir tanto estresse,Esse nível de estresse é um sinal de que algo precisa mudar. Vamos falar sobre maneiras de reduzir essa pressão e encontrar mais equilíbrio.
ansiedade,mente correr tentando relaxar,Isso deve ser muito frustrante. Vamos trabalhar em técnicas de relaxamento que podem ajudar a acalmar sua mente.
depressão,medo fardo pessoas redor,Esse sentimento de ser um fardo pode ser muito pesado. Vamos falar sobre como você pode enxergar seu valor e importância para os outros.
depressão,sinto apenas passando dias realmente vivêlos,Essa sensação de estagnação pode ser difícil. Vamos explorar maneiras de trazer mais sentido e alegria para sua vida.
ansiedade,sempre preocupadoa outros pensam mim,Essa preocupação constante pode ser muito desgastante. Vamos trabalhar em como reduzir essa ansiedade social.
pânico,medo sair casa algo ruim acontecer,"Esse medo pode ser paralisante, mas juntos podemos trabalhar para enfrentar isso de forma segura e gradual."
burnout,sinto tão exaustoa pequenas coisas parecem impossíveis,Esse esgotamento pode ser muito difícil. Vamos trabalhar em como recuperar sua energia e encontrar formas de se sentir mais leve.
depressão,sinto presoa ciclo negatividade,Esse ciclo de pensamentos negativos pode ser muito desgastante. Vamos explorar maneiras de romper esse padrão e trazer mais positividade para sua vida.
pânico,medo pensamentos saiam controle,"Esses medos podem ser assustadores, mas podemos trabalhar juntos em formas de lidar com essas sensações e manter o controle."
ansiedade,cabeça nunca sempre cheia preocupações,Esses pensamentos constantes podem ser muito desgastantes. Vamos falar sobre maneiras de desacelerar e focar no presente.
depressão,sinto nada faça valor,Esse sentimento de inutilidade pode ser muito doloroso. Vamos trabalhar juntos para enxergar o valor em suas ações e realizações.
burnout,sinto sempre correndo contra tempo nunca consigo alcançar tudo,Essa sensação de estar sempre correndo é um sinal de que você pode estar sobrecarregado. Vamos explorar maneiras de equilibrar melhor seu tempo e responsabilidades.
depressão,vejo motivo continuar vivendo,"Eu entendo que as coisas parecem muito escuras agora, mas estou aqui para te ajudar a encontrar uma luz. Você não está sozinho(a) nessa."
depressão,sinto mundo estaria melhor mim,"Sei que você está sofrendo muito, mas sua vida tem um valor imenso. Vamos falar sobre o que está causando essa dor tão profunda."
depressão,vezes penso única saída acabar tudo,Isso deve ser muito difícil de carregar. Estou aqui para ouvir você e ajudar a encontrar outras maneiras de lidar com essa dor.
depressão,quero desaparecer sumir mundo,Esse desejo de sumir é um sinal de que a dor está muito forte agora. Vamos explorar juntos maneiras de aliviar esse peso sem que você tenha que desaparecer.
pânico,sinto corpo mente conectados,Essa sensação de dissociação pode ser muito assustadora. Estou aqui para te ajudar a entender o que está acontecendo e te apoiar nesses momentos.
pânico,vezes sinto realmente aqui corpo,Essa experiência pode ser muito perturbadora. Vamos trabalhar em formas de te ajudar a voltar ao presente e se sentir mais conectado(a).
depressão,medo algo dentro mim destruindo,Esse medo interno deve ser muito doloroso. Vamos falar sobre o que está te causando tanta angústia e encontrar uma maneira de aliviar isso.
depressão,sinto despedaçando dentro,Essa sensação de fragmentação pode ser devastadora. Quero te ajudar a reconstruir essas partes e encontrar um caminho de cura.
depressão,vontade constante machucar,Eu sinto muito que você esteja passando por isso. Vamos trabalhar juntos para encontrar formas seguras de lidar com essa dor.
depressão,vezes acho morte alívio,Isso parece muito pesado e doloroso. Vamos trabalhar juntos para encontrar outras formas de aliviar esse sofrimento.
depressão,sinto vazioa nada sentido,Essa sensação de vazio pode ser muito angustiante. Estou aqui para te ajudar a encontrar maneiras de preencher esse vazio com algo que traga conforto.
pânico,sinto perdi completamente controle sobre mente,Essa sensação de perda de controle é assustadora. Vamos trabalhar em maneiras de te ajudar a sentir mais segurança e estabilidade nesses momentos.
pânico,medo perder totalmente contato realidade,Isso deve ser muito aterrorizante. Vamos falar sobre como você pode se ancorar e encontrar mais segurança nesses momentos de dissociação.
pânico,sinto completamente desconectadoa mim mesmoa mundo,Essa desconexão pode ser muito assustadora. Vamos trabalhar em maneiras de trazer você de volta ao presente e te reconectar com o que é real.
depressão,começando acreditar problema,"Sei que pode parecer assim, mas você não é o problema. Vamos juntos explorar o que está causando essa dor e encontrar formas de lidar com ela."
pânico,sinto desaparecendo pessoa real,Essa sensação pode ser muito perturbadora. Vamos trabalhar em maneiras de te ajudar a se sentir mais presente e real novamente.
depressão,tão cansadoa tudo sei continuar,"Sei que você está muito cansado(a) e isso é compreensível. Vamos falar sobre como podemos encontrar forças para seguir adiante, um passo de cada vez."
depressão,sinto presoa escuridão nunca acaba,"Essa escuridão pode ser muito sufocante. Estou aqui para te ajudar a encontrar um caminho para fora dela, mesmo que pareça impossível agora."
pânico,sinto mente implodindo saída,Esse sentimento de desespero é muito difícil. Vamos explorar maneiras de lidar com esses momentos de crise e encontrar alívio.
pânico,consigo reconhecer espelho parece outra pessoa,Essa desconexão com sua própria imagem pode ser assustadora. Vamos trabalhar para te ajudar a se reconectar com quem você realmente é.
depressão,sinto existência sendo apagada,Isso deve ser uma sensação muito solitária e dolorosa. Estou aqui para te ajudar a encontrar um caminho de volta para se sentir vivo(a) e presente.
depressão,pensamentos acabar tudo tempo todo,Esses pensamentos devem ser muito assustadores e pesados de carregar. Estou aqui para te ouvir e te ajudar a encontrar alívio para essa dor.
depressão,sinto desmoronando dentro ninguém pode salvar,"Essa sensação de desmoronamento é muito dolorosa. Estou aqui para te apoiar e ajudar a reconstruir, pedaço por pedaço."
pânico,vezes sinto assistindo vida,Essa experiência de distanciamento pode ser muito perturbadora. Vamos trabalhar em técnicas para te ajudar a voltar ao presente e se sentir mais no controle.
depressão,sinto implodindo lentamente dentro,Essa sensação de destruição interna é muito pesada. Vamos explorar maneiras de aliviar esse sentimento e encontrar um caminho de cura.
depressão,sinto futuro tudo acabado,Essa sensação de desesperança pode ser esmagadora. Vamos falar sobre como podemos encontrar pequenas coisas que tragam luz ao seu caminho.
ansiedade,sinto fraude tudo faço falso,Esses sentimentos de inadequação podem ser muito dolorosos. Vamos trabalhar em maneiras de combater essa sensação de ser uma fraude.
depressão,medo nunca conseguir sentir bem,"Esse medo é compreensível, mas você não está sozinho(a) nisso. Vamos trabalhar juntos para encontrar um caminho para a cura."
burnout,sinto beira colapso ninguém percebe,Essa sensação de esgotamento é muito difícil. Estou aqui para te ajudar a aliviar essa pressão e encontrar formas de recuperar seu equilíbrio.
pânico,medo perder noção real,Essa sensação pode ser muito aterrorizante. Vamos explorar formas de te ajudar a distinguir a realidade e te trazer de volta ao presente.
pânico,sinto tão desconectadoa vezes acho real,Essas sensações de irrealidade podem ser muito perturbadoras. Vamos trabalhar em maneiras de te ajudar a se sentir mais ancorado(a) e presente.
depressão,vejo propósito nada vida,"Sei que as coisas parecem sem sentido agora, mas estou aqui para te ajudar a encontrar propósito e significado, mesmo que seja aos poucos."
pânico,sinto vou perder controle fazer algo horrível,"Esse medo pode ser muito intenso, mas estou aqui para te ajudar a encontrar maneiras de lidar com esses pensamentos e se sentir mais seguro(a)."
pânico,sempre esperando pior algo terrível acontecer qualquer momento,Esse estado de alerta constante pode ser muito desgastante. Vamos trabalhar em maneiras de reduzir essa ansiedade e trazer mais calma.
pânico,medo mente despedaçando,Essa sensação de desintegração mental pode ser aterrorizante. Vamos explorar maneiras de te ajudar a se sentir mais no controle.
burnout,sinto explodir tanto estresse,Essa sensação de estar à beira de um colapso é um sinal de que você precisa de uma pausa. Vamos trabalhar juntos para encontrar alívio.
depressão,sinto mente sabotando tempo todo,Isso pode ser muito frustrante e doloroso. Vamos falar sobre como podemos interromper esses pensamentos e encontrar formas mais saudáveis de lidar com isso.
pânico,vezes sinto vivendo própria vida mentira,Essa sensação de distanciamento de si mesmo(a) pode ser muito desconcertante. Vamos explorar formas de te ajudar a se reconectar com quem você realmente é.
ansiedade,sempre pensando qualquer momento posso perder tudo,Esse medo constante é exaustivo. Vamos trabalhar juntos para aliviar essa preocupação e te ajudar a focar no presente.
ansiedade,sinto cabeça vai explodir tantos pensamentos ruins,Esse turbilhão de pensamentos deve ser muito desgastante. Vamos explorar técnicas para desacelerar sua mente e trazer mais calma.
pânico,medo pensamentos tornem realidade,"Esse medo pode ser muito assustador, mas estou aqui para te ajudar a encontrar maneiras de controlar esses pensamentos e sentir mais segurança."
ansiedade,sinto medo incontrolável falar público corpo simplesmente trava,Isso parece ser um tipo de ansiedade social. Podemos trabalhar em técnicas para ajudar a reduzir esse medo e te dar mais confiança em situações sociais.
ansiedade,mente pensar todas coisas ruins podem acontecer sempre esperando catástrofe,Isso parece um caso de Transtorno de Ansiedade Generalizada (TAG). Vamos explorar formas de acalmar sua mente e lidar com esses pensamentos de forma mais saudável.
ansiedade,fico constantemente revisando coisas cabeça algo terrível acontecer esquecer algo,Parece que você pode estar lidando com um transtorno de ansiedade que inclui comportamentos obsessivos. Vamos trabalhar em formas de aliviar essa pressão mental.
burnout,sinto pressão constante perfeitoa tudo esgota completamente,Essa pressão pela perfeição pode estar ligada a traços de ansiedade de desempenho. Vamos trabalhar em como reduzir essa autocrítica e encontrar um equilíbrio mais saudável.
ansiedade,consigo ir eventos sociais sentir vou desmaiar passar mal,Isso parece um caso de ansiedade social. Vamos trabalhar em técnicas de enfrentamento que podem ajudar você a se sentir mais confortável em situações sociais.
ansiedade,sinto constantemente limite qualquer coisa pudesse fazer explodir nervosismo,"Parece que você está lidando com ansiedade crônica, possivelmente TAG. Vamos falar sobre maneiras de reduzir essa tensão constante."
pânico,ataques pânico repentinos lugares cheios perder controle,Esses episódios de pânico em ambientes lotados podem indicar agorafobia. Vamos trabalhar em formas de te ajudar a enfrentar esses medos e se sentir mais seguro(a).
ansiedade,cabeça parece máquina nunca desliga sempre preocupadoa tudo tempo,Esse pensamento constante pode ser um sintoma de TAG. Vamos explorar maneiras de desacelerar sua mente e trazer mais paz para o seu dia a dia.
ansiedade,sinto necessidade incontrolável revisar tudo faço pequenas coisas,Isso pode ser um sintoma de Transtorno Obsessivo-Compulsivo (TOC). Vamos trabalhar em formas de aliviar essa pressão de perfeccionismo e revisão constante.
ansiedade,fico sempre nervosoa situações sociais medo julgadoa,Isso parece ser um caso de ansiedade social. Podemos trabalhar em técnicas de enfrentamento que vão te ajudar a lidar melhor com o medo do julgamento alheio.
ansiedade,sensação constante beira perder controle algo terrível acontecer qualquer momento,Essa sensação pode estar associada ao Transtorno de Ansiedade Generalizada (TAG). Vamos falar sobre maneiras de lidar com essa preocupação constante e reduzir sua intensidade.
burnout,sinto exaustoa completamente desmotivadoa trabalho apenas sobrevivendo,"Isso parece um caso clássico de burnout, especialmente ligado ao esgotamento emocional. Vamos trabalhar em estratégias para te ajudar a recuperar energia e motivação."
pânico,evito sair casa porque medo ter crise pânico público,Esse medo de crises em lugares públicos pode ser um sinal de agorafobia. Vamos trabalhar juntos para que você se sinta mais seguro(a) e confortável fora de casa.
ansiedade,medo pessoas percebam quão ansiosoa tempo todo,Isso parece estar relacionado à ansiedade social. Vamos explorar maneiras de lidar com esse medo e aumentar sua confiança em interações sociais.
depressão,sinto tristeza profunda nunca feliz novamente,Essa sensação de desesperança é comum em casos de depressão profunda. Vamos trabalhar juntos para encontrar formas de trazer alívio e redescobrir a alegria.
depressão,sinto inútil nada faço valor,Esses sentimentos de inadequação podem ser um sinal de depressão. Vamos explorar maneiras de reestruturar esses pensamentos e ver o valor que você realmente tem.
pânico,crises pânico pensar sair lugares novos desconhecidos,Esses sintomas indicam uma forma de agorafobia. Vamos trabalhar em formas de enfrentar esses medos e aumentar sua confiança em sair de casa.
ansiedade,sinto vou desmoronar conseguir dar conta todas responsabilidades,Essa preocupação excessiva pode estar ligada ao Transtorno de Ansiedade Generalizada (TAG). Vamos explorar formas de aliviar esse peso e encontrar um equilíbrio mais saudável.
pânico,medo perder controle sobre próprios pensamentos ações,Essa sensação de perda de controle é comum em crises de pânico. Vamos trabalhar em técnicas de ancoragem para te ajudar a se sentir mais seguro(a) e no controle.
ansiedade,evito situações novas porque sempre acho algo vai dar errado,Esse medo de novos cenários pode ser um sinal de ansiedade generalizada ou ansiedade social. Vamos explorar como construir confiança para enfrentar essas situações.
ansiedade,sinto constantemente beira ataque nervos motivo aparente,Essa sensação de tensão constante pode ser um sintoma de TAG. Vamos trabalhar em técnicas de relaxamento para te ajudar a encontrar mais tranquilidade.
burnout,sinto tão sobrecarregadoa vezes quero fugir tudo,"Essa sensação de fuga pode ser um sintoma de esgotamento extremo, relacionado ao burnout. Vamos trabalhar em formas de aliviar essa sobrecarga e te dar mais espaço para respirar."
ansiedade,sinto mente sempre correndo direção problemas ainda existem,Isso parece um sintoma típico de Transtorno de Ansiedade Generalizada (TAG). Vamos trabalhar em formas de desacelerar sua mente e focar no presente.
ansiedade,pavor falar estranhos pessoas conheço corpo simplesmente paralisa,Esse sintoma é típico de ansiedade social. Vamos explorar maneiras de desviar sua mente desse medo e aumentar sua confiança em interações sociais.
ansiedade,sinto importa quanto tente nunca consigo relaxar verdade,Essa dificuldade em relaxar pode ser um sinal de TAG. Vamos trabalhar em práticas de relaxamento e técnicas de mindfulness para te ajudar a desacelerar.
depressão,sinto isoladoa mundo fizesse parte nada,Essa sensação de desconexão é comum em depressão profunda. Vamos trabalhar em maneiras de reestabelecer suas conexões e te ajudar a sentir que faz parte do mundo ao seu redor.
pânico,crises pânico pensar presoa lugares pequenos,"Esse medo pode estar relacionado à claustrofobia, um tipo de transtorno de pânico. Vamos trabalhar em formas de lidar com esse medo e encontrar maneiras de aliviar essa ansiedade."
